DEJAVNOST,NETO_PLACA,BRUTO_PLACA
"KMETIJSTVO, GOZDARSTVO...",933,1400
RUDARSTVO,1396,2216
PREDELOVALNE DEJAVNOSTI,1088,1680
OSKRBA Z ENERGIJO,1594,2554
"OSKRBA Z VODO, OKOLJE",1066,1632
GRADBENISTVO,866,1302
TRGOVINA,1022,1581
PROMET IN SKLADISCENJE,999,1541
GOSTINSTVO,818,1213
INFORMACIJSKE DEJAVNOSTI,1447,2327
 FINANCNE,1559,2548
NEPREMICNINE,1026,1578
ZNANOST IN TEHNOLOGIJA,1180,1857
POSLOVNE DEJAVNOSTI,802,1185
DEJAVNOST JAVNE UPRAVE ,1390,2183
IZOBRAZEVANJE,1184,1822
ZDRAVSTVO ,1246,1955
KULTURNE DEJAVNOSTI,1141,1755
DRUGE DEJAVNOSTI,928,1404
