time,"SLOVENIJA","Ajdovscina","Apace","Beltinci","Benedikt","Bistrica ob Sotli","Bled","Bloke","Bohinj","Borovnica","Bovec","Braslovce","Brda","Brezovica","Brezice","Cankova","Celje","Cerklje na Gorenjskem","Cerknica","Cerkno","Cerkvenjak","Cirkulane","crensovci","crna na Koroskem","crnomelj","Destrnik","Divaca","Dobje","Dobrepolje","Dobrna","Dobrova - Polhov Gradec","Dobrovnik","Dol pri Ljubljani","Dolenjske Toplice","Domzale","Dornava","Dravograd","Duplek","Gorenja vas - Poljane","Gorisnica","Gorje","Gornja Radgona","Gornji Grad","Gornji Petrovci","Grad","Grosuplje","Hajdina","Hoce - Slivnica","Hodos","Horjul","Hrastnik","Hrpelje - Kozina","Idrija","Ig","Ilirska Bistrica","Ivancna Gorica","Izola","Jesenice","Jezersko","Jursinci","Kamnik","Kanal","Kidricevo","Kobarid","Kobilje","Kocevje","Komen","Komenda","Koper","Kostanjevica na Krki","Kostel","Kozje","Kranj","Kranjska Gora","Krizevci","Krsko","Kungota","Kuzma","Lasko","Lenart","Lendava","Litija","Ljubljana","Ljubno","Ljutomer","Log - Dragomer","Logatec","Loska dolina","Loski Potok","Lovrenc na Pohorju","Luce","Lukovica","Majsperk","Makole","Maribor","Markovci","Medvode","Menges","Metlika","Mezica","Miklavz na Dravskem polju","Miren - Kostanjevica","Mirna Pec","Mislinja","Mokronog - Trebelno","Moravce","Moravske Toplice","Mozirje","Murska Sobota","Muta","Naklo","Nazarje","Nova Gorica","Novo Mesto","Odranci","Oplotnica","Ormoz","Osilnica","Pesnica","Piran","Pivka","Podcetrtek","Podlehnik","Podvelka","Poljcane","Polzela","Postojna","Prebold","Preddvor","Prevalje","Ptuj","Puconci","Race - Fram","Radece","Radenci","Radlje ob Dravi","Radovljica","Ravne na Koroskem","Razkrizje","Recica ob Savinji","Rence - Vogrsko","Ribnica","Ribnica na Pohorju","Rogaska Slatina","Rogasovci","Rogatec","Ruse","Selnica ob Dravi","Semic","Sevnica","Sezana","Slovenj Gradec","Slovenska Bistrica","Slovenske Konjice","Sodrazica","Solcava","Sredisce ob Dravi","Starse","Straza","Sveta Ana","Sveta Trojica v Slov. goricah","Sveti Andraz v Slov. goricah","Sveti Jurij ob scavnici","Sveti Jurij v Slov. goricah","Sveti Tomaz","salovci","sempeter - Vrtojba","sencur","sentilj","sentjernej","sentjur","sentrupert","skocjan","skofja Loka","skofljica","smarje pri Jelsah","smarjeske Toplice","smartno ob Paki","smartno pri Litiji","sostanj","store","Tabor","Tisina","Tolmin","Trbovlje","Trebnje","Trnovska vas","Trzin","Trzic","Turnisce","Velenje","Velika Polana","Velike Lasce","Verzej","Videm","Vipava","Vitanje","Vodice","Vojnik","Vransko","Vrhnika","Vuzenica","Zagorje ob Savi","Zavrc","Zrece","zalec","zelezniki","zetale","ziri","zirovnica","zuzemberk"
2005,735.73,695.29,650.85,617.37,688.86,634.89,688.76,692.95,580.67,661.44,628.66,614.36,703.85,616.01,664.84,651.96,736.90,994.07,613.28,664.83,780.91,673.19,601.16,713.37,632.86,776.61,740.32,739.62,573.05,658.02,618.62,805.00,832.33,677.73,690.60,725.15,665.62,642.17,684.96,618.97,655.52,633.72,611.62,481.44,622.51,700.93,605.94,682.17,847.90,728.65,637.07,689.45,710.54,722.03,653.44,674.61,675.38,715.91,779.87,725.85,647.56,721.41,578.06,617.30,857.00,621.73,683.16,621.96,756.24,518.74,627.96,627.66,755.62,734.12,674.97,739.08,669.87,638.15,713.59,651.26,677.39,625.33,848.09,609.26,614.26,607.73,648.70,661.93,671.38,583.60,575.55,639.23,633.83,536.62,727.61,677.49,699.56,735.46,584.55,636.81,627.58,643.05,706.05,647.31,583.79,726.43,648.59,696.10,635.40,636.87,721.09,580.68,816.22,808.97,758.71,642.59,606.92,519.57,661.04,724.61,611.00,623.58,693.53,594.96,596.27,544.71,724.96,663.24,639.20,664.85,654.17,703.85,696.96,604.50,689.67,575.78,672.54,722.27,660.83,607.01,648.94,649.56,652.19,579.75,691.11,581.11,686.19,693.56,590.34,613.60,708.90,660.65,694.56,631.66,668.05,630.00,621.83,724.84,563.70,828.84,664.32,673.83,639.26,740.92,822.02,822.59,736.58,707.74,660.48,654.47,639.23,695.70,663.83,701.32,623.12,651.04,672.67,642.69,608.34,767.73,689.27,676.39,769.22,658.15,767.87,690.53,708.72,643.49,612.73,510.59,693.30,522.59,608.65,741.05,694.64,655.83,627.63,667.10,701.15,645.90,610.01,658.98,660.91,636.49,656.64,658.92,680.86,760.20,659.35,674.32,646.23
2006,773.42,731.76,680.35,661.14,730.72,679.40,727.13,732.48,624.89,735.66,670.72,691.78,743.43,658.79,701.55,710.43,774.28,1028.63,650.46,697.00,825.27,718.68,608.19,747.89,680.57,806.40,780.37,791.57,618.04,688.28,656.17,758.51,869.42,705.02,732.13,747.51,701.65,682.47,709.08,655.93,684.23,665.85,629.97,512.69,654.78,734.11,667.74,735.98,874.71,755.35,658.98,705.12,743.41,743.90,684.39,714.40,701.79,757.62,818.16,761.87,691.86,788.16,639.88,722.70,870.46,656.93,739.57,647.80,805.60,518.13,679.49,672.12,798.76,752.83,733.75,771.39,687.20,632.24,745.98,664.33,692.22,648.52,889.75,614.89,641.01,656.59,688.09,693.33,727.94,606.37,595.21,704.07,529.65,547.88,764.21,706.24,729.18,693.98,606.44,675.30,679.08,703.94,731.95,640.30,624.07,793.50,668.93,714.06,663.65,675.59,761.25,613.30,855.31,844.75,686.24,660.10,633.93,534.91,730.31,755.37,633.11,662.81,750.29,635.90,621.35,565.05,765.26,684.86,673.54,662.58,692.07,749.51,702.61,648.77,737.36,611.83,699.19,746.31,687.35,609.70,685.70,694.02,719.46,613.56,738.52,638.44,726.18,720.73,622.77,662.22,743.41,695.18,727.33,648.37,701.12,685.86,692.40,739.42,602.15,886.28,683.31,697.64,690.44,780.68,861.31,780.32,796.58,760.41,691.86,679.67,672.56,739.44,716.88,735.09,655.40,682.97,708.23,682.36,641.20,832.93,731.52,736.41,776.73,696.29,814.41,719.34,701.20,686.64,647.01,585.78,717.36,673.44,663.99,771.12,717.94,703.36,671.52,687.52,711.22,698.87,642.66,656.29,685.68,686.23,696.31,698.81,718.50,792.45,691.83,737.26,665.11
2007,834.50,803.17,747.81,707.74,817.51,785.46,791.68,765.78,672.96,748.78,724.52,724.93,816.25,731.18,756.91,797.66,826.78,1065.88,698.29,747.03,884.07,769.67,644.56,813.42,726.76,856.48,834.96,903.93,714.37,738.56,741.51,770.71,955.73,760.65,804.62,760.53,772.75,718.75,781.45,700.23,741.79,715.17,676.63,537.89,693.92,815.49,745.40,806.20,822.40,803.58,705.54,769.03,813.15,799.79,724.36,791.24,757.13,810.48,806.55,815.49,740.33,910.40,714.91,767.95,777.65,700.80,784.25,767.10,868.13,532.18,744.45,765.34,856.49,817.80,814.95,861.60,765.53,664.82,781.15,691.45,737.06,694.45,963.60,660.32,700.07,742.09,739.76,757.79,776.33,691.63,630.28,778.94,604.46,706.77,813.09,759.33,789.48,751.92,661.56,732.50,740.03,763.48,800.95,725.50,671.95,878.70,710.34,766.04,706.57,741.13,843.96,653.07,924.20,910.33,707.41,713.91,655.68,558.03,807.91,813.08,690.87,714.66,792.59,674.82,651.97,594.62,819.87,728.65,728.59,720.40,749.37,829.11,733.27,733.76,791.96,655.77,758.49,780.73,749.73,586.32,746.06,732.60,765.98,654.73,777.50,660.21,823.64,778.37,651.90,713.46,797.15,747.37,825.13,699.39,754.09,746.46,836.58,785.12,670.77,948.62,774.36,809.63,727.00,878.67,925.77,805.12,846.48,829.25,738.15,743.84,725.52,795.06,762.67,788.09,707.39,724.32,781.44,730.85,666.02,896.64,803.05,795.10,799.86,739.42,869.96,789.70,782.32,786.92,692.03,590.84,760.84,763.08,716.64,810.35,753.66,773.64,735.91,722.55,747.02,745.46,692.02,696.72,740.75,710.84,760.33,752.86,773.89,851.43,762.50,771.28,701.15
2008,899.80,861.14,829.80,724.17,836.36,842.48,889.74,817.01,727.87,778.49,772.68,804.96,884.21,782.18,819.61,882.35,886.65,1179.98,757.05,766.10,910.45,799.82,697.16,903.74,777.31,944.93,896.44,1009.55,784.56,804.06,803.68,802.43,1066.81,813.47,860.05,827.92,823.71,776.56,847.89,771.94,805.45,784.94,750.66,598.09,798.89,875.73,815.63,861.55,751.87,847.25,764.42,792.80,838.79,863.92,791.78,832.08,819.79,859.07,784.21,863.54,809.38,938.96,766.10,811.20,804.59,758.95,847.70,866.31,941.87,582.32,814.06,799.03,929.06,860.96,883.37,932.58,816.82,706.86,837.76,745.38,807.38,749.77,1042.35,736.21,770.64,745.43,815.12,799.78,853.25,771.01,676.93,927.96,644.46,636.36,871.09,800.69,842.29,815.98,721.15,821.67,794.23,823.22,844.18,840.08,760.04,913.21,767.96,828.84,762.37,788.00,893.53,693.99,971.55,991.95,784.85,768.70,712.53,575.88,875.80,862.98,748.40,761.27,856.13,753.05,714.44,670.95,874.26,739.55,777.73,761.41,805.63,911.42,798.26,793.20,832.08,707.16,814.94,851.97,843.60,601.89,807.29,785.51,822.01,694.78,812.90,697.66,868.00,845.08,699.38,765.46,878.94,805.75,846.49,762.58,823.07,817.74,897.09,814.71,714.32,1003.12,844.57,870.99,799.45,930.75,1026.45,900.89,890.02,878.79,805.67,777.31,794.54,908.54,850.55,843.47,765.26,793.42,838.17,777.08,728.81,964.51,892.38,842.14,776.10,802.22,957.63,853.86,827.17,864.69,745.40,673.05,813.98,855.85,772.47,825.41,827.33,821.65,755.03,774.32,813.06,835.52,773.56,737.22,800.31,842.53,807.28,819.19,780.94,861.03,809.67,880.13,753.22
2009,930.00,875.66,863.03,753.86,852.68,881.26,899.51,764.04,734.25,749.44,780.04,838.64,900.65,814.13,861.18,921.55,914.19,1147.61,768.05,769.57,909.85,820.69,722.72,946.65,775.43,973.90,906.62,971.76,799.08,829.83,824.17,960.09,1032.91,841.81,878.63,900.91,828.34,810.92,865.22,786.59,830.96,814.89,777.55,714.99,974.53,883.08,767.85,847.30,772.64,833.30,784.03,820.69,848.31,908.53,841.57,812.33,884.55,904.26,803.36,896.33,845.76,979.49,719.28,828.21,790.28,794.42,857.25,918.14,973.33,591.54,866.84,845.66,951.52,864.62,944.68,951.00,847.55,698.45,857.97,775.10,844.09,778.37,1081.27,770.48,806.66,781.91,872.77,796.41,836.64,781.22,732.25,971.57,748.18,718.84,909.07,833.29,885.27,819.66,749.19,854.51,801.44,823.17,864.67,781.76,747.95,856.43,797.83,837.32,834.05,773.22,874.83,712.26,994.66,1021.45,771.93,778.87,759.65,530.04,868.88,908.52,733.11,737.31,920.71,791.29,719.11,697.89,896.10,742.64,813.02,788.34,835.94,951.76,812.52,816.45,847.04,726.42,837.52,877.40,869.38,652.31,804.55,814.50,823.09,736.22,832.00,728.47,895.15,880.85,708.90,783.41,897.32,848.91,856.83,778.92,860.98,795.42,1014.39,780.48,718.57,1012.78,880.28,912.02,811.67,968.49,1052.42,837.17,922.20,915.27,836.14,780.78,813.23,969.99,882.51,871.43,802.64,829.44,869.50,788.26,735.16,987.59,839.67,793.11,815.11,822.11,992.36,868.65,804.67,828.22,781.30,736.64,824.61,846.87,809.97,861.23,817.36,860.51,740.71,825.77,863.23,857.39,816.85,745.07,825.21,881.87,785.05,834.17,766.97,877.93,771.24,881.24,778.59
2010,966.62,917.59,883.93,775.85,903.57,908.28,925.35,763.88,758.08,809.60,823.11,852.41,891.94,866.96,887.33,975.49,941.93,1173.70,805.30,807.70,907.23,824.38,794.38,948.59,830.53,928.95,935.88,955.72,827.58,866.59,869.30,933.23,1066.37,870.28,921.47,889.97,866.30,825.41,925.86,809.74,870.86,851.58,806.27,754.28,1014.56,915.68,776.47,896.33,800.87,916.28,824.34,864.39,923.75,939.41,872.61,884.29,914.14,942.65,849.45,916.13,887.69,973.76,740.69,859.28,834.12,844.50,884.21,1000.33,994.80,667.29,878.85,863.07,987.75,869.34,938.26,986.85,859.22,734.02,896.90,811.55,881.53,823.34,1106.95,825.13,881.04,811.10,907.71,836.57,892.68,822.00,800.87,1029.02,747.05,748.32,945.16,876.54,929.43,845.62,777.11,908.50,817.36,864.91,894.67,827.00,819.52,899.70,810.54,862.30,894.32,826.71,911.21,816.77,1027.89,1065.76,772.24,787.74,791.79,587.48,893.85,939.52,757.34,745.39,961.90,803.69,752.97,726.34,920.36,811.39,857.41,822.44,863.43,943.87,861.77,875.31,873.72,814.47,896.13,929.76,868.57,701.12,868.22,858.93,836.42,764.96,852.17,785.86,939.10,892.73,786.46,813.15,922.75,900.39,916.48,838.20,889.19,840.70,1038.83,729.86,743.48,1028.72,891.64,897.56,874.06,950.51,1010.35,913.90,988.38,961.42,864.47,871.41,841.93,974.97,811.70,919.88,837.52,841.50,934.17,820.02,777.31,1005.27,928.23,843.58,942.75,868.46,1018.68,902.08,782.67,853.24,831.00,762.35,912.77,866.11,829.21,876.38,841.07,882.29,832.55,869.25,872.35,959.38,860.49,777.99,861.40,840.42,852.20,870.05,808.93,922.34,812.57,907.11,818.01
2011,987.39,953.70,870.53,808.39,918.12,888.27,949.81,740.13,786.03,838.54,877.79,882.60,954.89,889.30,912.24,912.90,966.03,1182.71,825.38,827.47,932.41,814.55,804.51,960.59,846.10,897.71,982.75,938.55,849.70,870.57,920.53,911.17,1119.90,882.54,944.38,873.81,872.06,826.18,941.49,831.07,888.16,856.57,814.05,761.43,1013.79,926.97,779.68,914.08,825.00,938.10,870.03,881.21,944.03,944.98,944.98,918.62,933.88,964.88,835.94,913.19,898.37,993.17,756.12,878.18,868.91,862.65,889.49,1017.57,1010.03,706.11,887.26,881.47,1008.79,890.69,946.67,1001.97,879.69,821.27,928.53,823.31,884.69,842.47,1125.64,837.57,891.48,779.16,930.81,844.59,935.17,804.87,851.48,1007.62,796.53,752.99,964.64,870.17,927.07,957.21,819.89,944.23,868.49,885.76,947.37,818.88,870.85,922.43,818.79,878.32,902.34,861.27,957.41,841.88,1032.97,1084.32,754.82,755.80,828.79,636.69,873.93,957.92,817.36,781.68,964.22,804.19,789.08,751.34,945.66,837.41,866.51,842.15,864.11,951.40,857.54,930.16,896.86,846.20,896.85,972.27,872.74,726.46,868.43,878.57,846.97,798.12,869.99,781.92,987.40,915.26,846.37,854.11,941.43,932.61,930.33,838.04,902.18,843.30,1046.60,652.55,1078.81,992.25,887.66,867.77,884.48,992.38,1002.24,903.60,995.64,987.36,877.71,930.27,870.21,987.20,864.22,936.30,863.13,850.54,917.67,836.09,799.96,1044.68,967.92,836.29,946.05,898.84,1041.66,920.60,778.99,932.67,858.58,808.76,945.93,895.36,866.86,899.41,818.99,897.44,845.00,870.47,890.01,914.23,886.32,812.31,882.38,784.12,874.35,888.19,842.18,923.58,846.92,933.34,851.58
2012,991.44,922.82,852.28,814.99,917.47,900.91,950.62,777.41,786.86,894.98,872.98,868.33,922.07,897.60,906.13,899.16,968.84,1187.71,835.77,847.27,929.09,836.63,829.57,952.53,875.68,822.66,948.12,984.90,794.71,881.60,918.13,934.70,1120.90,876.23,961.04,882.92,876.78,834.44,946.61,793.42,899.06,870.23,820.54,779.79,1014.17,921.62,717.36,921.55,797.26,937.08,869.74,880.12,953.24,942.18,891.50,906.96,946.66,982.94,819.03,846.23,896.85,1002.29,788.38,861.35,815.20,862.63,895.25,1018.46,1016.36,710.74,900.18,892.45,1027.88,877.77,977.25,1021.78,893.92,781.11,924.79,826.33,907.07,840.67,1124.97,881.10,904.37,814.07,940.37,828.85,936.79,821.51,843.28,1002.25,789.13,793.87,969.07,859.67,928.29,937.73,812.78,940.28,891.79,902.98,892.86,852.60,834.47,903.47,822.11,882.07,905.37,862.36,957.83,854.37,1022.04,1103.61,753.92,760.24,850.49,656.54,882.56,943.01,897.14,787.45,963.28,810.68,783.85,771.89,932.68,831.80,871.83,855.61,850.69,973.56,838.97,885.28,907.49,854.94,903.23,984.89,825.40,726.43,870.05,906.56,817.52,801.89,892.08,772.60,998.34,906.03,818.62,851.72,933.72,934.72,937.91,838.33,892.90,975.46,977.57,711.33,875.18,966.82,912.00,857.96,902.44,979.45,981.78,866.14,1001.49,1004.10,870.27,942.66,859.93,974.52,917.77,968.42,849.89,843.31,900.24,820.71,805.61,1063.77,967.65,943.56,914.11,912.19,1033.41,896.52,881.20,966.17,861.66,809.76,959.08,840.51,837.71,921.15,808.74,890.03,844.23,854.02,889.33,900.22,882.05,854.53,845.17,815.70,887.76,887.67,840.17,930.99,866.19,958.83,837.25
2013,997.01,927.51,871.73,815.16,905.37,918.69,961.79,800.06,804.38,894.02,935.95,864.52,945.65,894.70,904.73,917.21,969.30,1378.65,856.47,863.34,927.83,852.23,845.07,968.52,878.96,804.35,914.29,1024.92,840.62,876.34,896.51,948.69,1075.58,895.11,961.45,882.93,895.61,835.63,946.20,815.97,899.15,887.92,849.17,781.88,1018.94,914.85,747.21,932.14,811.43,938.57,882.04,863.53,970.89,934.47,907.02,943.11,960.69,987.81,905.14,817.49,897.46,931.46,823.27,872.47,818.88,869.93,844.01,1015.49,1020.49,710.32,849.98,863.72,1027.52,881.61,987.70,1021.21,888.59,772.23,900.65,836.76,903.99,838.63,1125.61,911.61,913.45,879.19,939.82,817.28,884.82,804.99,850.44,1019.49,780.68,810.98,966.40,854.99,938.00,918.34,828.38,966.60,852.28,924.33,885.79,853.18,833.39,886.38,815.46,883.31,912.37,894.18,995.43,888.54,1016.28,1116.34,782.35,776.16,853.55,693.41,869.29,925.57,901.27,801.75,985.38,833.72,776.24,797.97,936.81,854.23,866.98,885.01,857.63,950.14,845.09,873.10,897.34,875.68,901.79,991.59,830.72,733.98,842.73,920.96,874.15,815.84,888.45,777.66,1018.62,902.51,793.73,864.69,923.56,934.02,962.09,857.52,882.35,918.04,997.27,702.33,879.40,934.69,942.83,935.20,891.96,966.52,963.87,865.58,1013.94,1001.62,889.67,985.97,856.32,975.12,929.52,995.29,857.18,848.78,926.77,818.90,810.30,1093.48,990.55,818.55,912.51,930.70,1028.84,911.11,892.77,977.97,874.78,805.17,972.45,860.77,812.31,923.85,813.91,916.54,875.82,846.88,890.95,882.93,896.96,849.98,871.61,769.91,913.88,890.36,892.77,909.26,885.43,990.55,854.39
2014,1005.41,934.23,859.97,830.84,925.57,910.77,974.93,776.24,812.21,866.22,930.76,885.92,965.47,875.28,916.54,929.21,984.36,1393.08,878.98,864.85,944.32,858.49,860.06,969.31,881.24,828.15,911.70,1043.63,843.35,862.76,877.32,912.26,1072.94,894.58,950.79,899.92,907.73,839.22,968.87,839.90,891.11,919.28,857.59,780.89,951.58,924.75,745.90,943.93,765.29,979.67,881.25,892.08,990.55,917.93,910.66,964.13,973.11,1006.05,921.54,864.06,898.68,955.87,833.92,901.46,835.83,875.23,834.57,1018.36,1029.76,703.03,838.18,879.25,1022.17,886.62,974.33,1031.32,871.38,797.67,887.13,850.68,894.62,875.42,1130.74,909.97,922.25,884.93,945.93,803.78,935.60,816.83,878.99,1011.98,799.29,785.92,971.46,822.03,943.19,937.86,832.23,1024.66,848.96,928.36,914.84,842.85,871.90,920.97,810.79,868.88,941.59,907.67,974.86,931.76,1017.28,1145.87,786.87,788.63,850.18,695.04,881.30,923.10,908.47,810.08,986.89,817.05,780.84,796.09,953.35,850.14,883.99,884.75,859.90,937.24,854.38,877.13,899.79,898.18,907.69,1003.76,896.70,724.01,874.71,932.25,870.41,834.51,860.02,766.00,1057.75,829.92,800.47,878.35,934.48,941.92,955.40,873.43,892.07,900.45,984.87,852.21,882.75,869.95,883.45,956.42,899.15,957.69,962.90,865.65,1039.13,992.78,900.07,992.39,869.02,1014.40,950.58,1028.90,864.42,866.04,930.83,822.01,804.39,1108.43,1028.99,809.07,929.17,931.53,1019.50,925.14,906.63,965.73,874.39,796.01,994.86,858.45,823.81,937.34,827.79,940.45,881.68,854.92,887.60,894.69,909.43,828.80,873.29,737.92,934.43,891.89,942.54,901.21,914.22,961.66,865.64
